"t1.dt","sender_region_code","receiver_region_code","sender_org_count","receiver_org_count","assortment","count_brand","cnt_moved"
2022-05-06,"50","50",7,8,126,16,39429
2022-06-30,"26","26",1,7,74,28,142
2022-06-14,"36","31",2,2,24,10,40
2022-08-26,"63","56",1,1,50,18,50
2022-04-28,"23","48",2,2,5,2,80
2022-04-22,"50","22",1,1,12,5,504
2022-02-14,"78","38",2,1,82,21,192
2022-01-18,"26","50",1,1,4,3,4
2022-11-07,"50","01",1,1,8,2,114
2022-09-09,"26","77",1,1,4,3,9
2022-01-17,"77","29",1,1,12,1,13
2022-08-22,"23","63",1,2,6,1,36
2022-10-24,"18","76",1,10,94,6,319
2021-12-06,"52","13",1,3,46,16,73
2022-02-24,"16","13",1,4,134,18,420
2022-11-10,"59","18",1,3,48,12,63
2021-12-23,"78","42",1,1,13,1,52
2022-10-25,"77","74",2,2,7,2,20
2022-05-12,"66","86",1,1,16,5,507
2022-01-13,"62","28",1,1,19,3,26
2022-03-02,"52","11",1,1,68,1,283
2022-11-07,"54","44",1,1,23,2,164
2022-05-04,"01","23",1,13,479,64,1310
2022-02-23,"70","70",1,1,1,1,1
2022-03-17,"54","19",1,1,27,7,34
2022-08-25,"50","03",1,1,40,1,52
2021-12-06,"56","56",3,7,126,21,208
2022-07-12,"38","03",2,2,107,15,162
2022-07-04,"66","86",3,2,31,14,1035
2021-12-02,"77","51",4,5,59,4,447
2022-07-28,"66","32",1,2,126,19,132
2022-07-12,"01","23",1,2,12,6,51
2022-05-18,"77","55",5,4,14,6,61
2022-04-15,"52","15",1,1,46,1,61
2021-12-16,"54","19",1,1,7,3,27
2022-01-26,"56","56",3,6,144,24,250
2022-05-04,"38","03",2,2,196,50,288
2022-08-09,"37","33",2,4,43,5,85
2022-03-04,"62","50",2,3,16,4,42
2022-06-02,"66","69",1,1,1,1,4
2022-05-20,"58","68",1,1,3,2,4
2022-10-06,"23","63",2,1,5,2,27
2022-08-03,"77","74",2,2,15,2,69
2022-03-29,"50","58",1,1,22,2,213
2022-05-24,"77","57",1,1,32,9,38
2022-09-20,"59","18",1,5,82,16,173
2022-03-17,"66","11",1,1,9,4,36
2022-11-14,"77","72",1,1,15,2,137
2022-04-27,"52","86",1,1,126,1,274
2022-02-04,"66","86",1,1,5,2,5
2022-03-22,"70","70",1,2,10,4,17
2022-01-27,"01","23",1,11,282,51,630
2021-12-05,"38","03",1,1,2,1,81
2022-02-11,"39","50",1,1,22,3,26
2021-12-20,"47","16",1,1,84,1,261
2022-01-21,"59","43",1,1,3,3,59
2022-07-11,"56","56",2,5,126,22,297
2022-06-14,"62","50",1,11,69,12,233
2022-08-26,"37","37",1,1,54,8,72
2022-10-16,"59","66",1,1,2,2,2
2022-03-08,"66","69",1,2,2,2,2
2022-01-26,"67","40",1,1,10,1,10
2022-03-15,"77","57",1,1,19,9,48
2022-10-18,"54","42",3,5,57,10,121
2022-07-11,"52","13",1,2,25,7,119
2022-09-13,"55","86",1,1,5,3,6
2022-09-20,"52","30",1,2,110,1,197
2022-08-16,"77","70",1,1,3,3,3
2022-09-01,"67","67",1,2,8,3,25
2021-12-29,"66","69",1,1,3,1,10
2022-07-22,"77","29",1,2,1,1,48
2022-05-11,"50","26",1,1,16,2,54
2022-06-17,"52","69",1,1,15,1,30
2021-12-09,"50","22",1,1,12,4,1920
2022-07-19,"26","50",1,1,8,5,9
2021-12-22,"77","57",3,2,35,10,104
2022-06-22,"16","13",1,1,79,10,180
2022-08-10,"54","42",4,7,39,12,93
2022-04-08,"78","42",1,2,3,2,3
2022-09-15,"11","11",1,2,14,3,14
2022-11-10,"52","30",1,1,56,1,123
2022-02-14,"77","55",4,5,87,16,1821
2022-08-08,"63","58",1,1,1,1,1
2022-05-12,"23","46",3,1,6,3,139
2022-07-15,"77","51",1,1,2,1,45
2022-06-21,"70","70",2,3,40,12,58
2022-06-16,"52","11",1,1,90,1,147
2022-08-12,"52","32",1,1,31,1,61
2022-09-16,"77","72",1,1,1,1,24
2022-06-02,"50","24",3,3,92,13,1421
2022-01-27,"38","03",1,1,21,11,36
2022-08-18,"47","31",1,1,25,2,65
2022-08-01,"72","66",1,1,2,1,4
2022-05-30,"54","19",1,1,21,6,113
2022-05-05,"56","56",2,5,62,19,101
2022-09-24,"45","77",1,1,13,1,163
2022-03-02,"18","24",1,1,45,5,223
2022-08-31,"52","41",1,1,24,1,45
2022-02-14,"36","48",2,2,27,16,32
2022-05-31,"77","22",2,3,142,2,3525
2022-01-13,"16","66",1,1,7,6,7
2022-06-20,"78","33",1,1,24,1,87
2022-03-03,"77","26",5,3,67,6,1411
2022-04-25,"71","50",1,1,9,1,21
2022-05-19,"66","66",10,24,885,84,7247
2022-03-22,"36","36",6,13,151,24,405
2022-09-26,"50","74",1,1,13,4,312
2022-02-24,"66","18",1,2,41,6,332
2022-06-03,"40","40",1,1,1,1,1
2022-08-16,"31","36",1,1,13,6,123
2022-06-24,"64","51",1,1,33,5,36
2021-12-24,"50","51",1,1,2,1,4
2022-03-21,"50","55",2,2,60,9,4873
2022-11-16,"37","44",1,3,25,8,75
2022-10-06,"50","76",2,2,32,12,385
2022-11-15,"57","57",2,4,103,18,191
2022-02-25,"66","60",1,1,82,12,123
2022-10-24,"52","43",2,3,142,4,314
2022-07-21,"54","12",1,1,9,1,14
2021-12-14,"55","45",1,7,139,23,418
2021-12-03,"77","24",5,7,168,65,700
2022-08-26,"71","71",5,18,275,40,605
2022-03-09,"50","51",1,1,7,1,66
2022-05-17,"56","27",1,1,1,1,38
2022-03-23,"64","51",1,1,1,1,1
2022-10-17,"77","79",1,1,6,5,12
2022-08-22,"50","76",3,14,113,25,539
2022-09-15,"57","57",2,4,35,12,49
2022-06-22,"50","55",2,2,50,9,2328
2022-09-04,"77","03",1,1,1,1,24
2022-06-28,"26","59",1,1,5,2,156
2022-01-25,"77","24",8,7,257,35,1773
2022-01-18,"55","45",1,12,259,35,536
2022-02-17,"16","66",1,2,41,14,73
2022-05-05,"10","10",1,1,11,4,19
2022-01-31,"66","62",1,2,2,2,2
2022-07-01,"66","66",10,30,773,89,3702
2022-09-30,"78","10",1,1,10,4,26
2022-08-18,"01","77",1,1,4,3,13
2022-08-29,"66","45",1,2,7,3,20
2022-06-21,"36","36",5,14,198,32,680
2022-04-13,"40","40",1,2,10,1,14
2022-10-31,"50","74",3,4,63,8,628
2022-01-10,"66","18",1,1,1,1,20
2022-02-24,"50","55",2,1,82,18,550
2022-06-07,"50","51",1,1,29,6,38
2022-06-09,"52","64",1,1,59,1,104
2022-07-14,"77","24",8,9,145,44,2843
2022-07-19,"55","45",1,7,135,20,195
2022-09-28,"55","66",3,4,68,24,99
2022-06-16,"25","41",1,4,50,20,105
2022-09-05,"78","16",3,2,168,24,2008
2021-11-23,"47","19",1,1,45,1,124
2022-02-11,"77","20",2,2,31,3,123
2022-01-20,"71","50",1,2,9,2,29
2022-10-13,"77","05",1,2,33,12,67
2022-02-13,"66","66",4,12,616,56,3397
2022-03-30,"77","26",3,3,15,6,116
2022-05-18,"36","48",3,3,66,15,207
2022-06-02,"23","31",3,1,10,4,49
2021-12-15,"77","22",4,4,89,4,450
2022-09-07,"71","77",1,1,6,1,6
2021-12-06,"10","10",1,1,1,1,4
2022-03-11,"52","18",1,2,84,1,161
2022-07-26,"26","25",1,1,27,2,1092
2021-12-28,"40","40",1,3,42,2,131
2022-02-23,"36","36",3,12,155,16,509
2022-04-18,"50","29",1,1,1,1,3
2021-12-08,"71","50",1,2,84,11,178
2022-08-15,"77","05",4,4,35,5,208
2022-02-15,"52","62",1,1,21,1,25
2022-03-28,"16","66",2,3,30,14,356
2022-03-18,"77","22",5,4,146,9,2865
2022-06-22,"66","18",2,2,6,2,16
2022-02-09,"47","61",1,1,2,2,13
2022-01-11,"36","36",5,16,295,41,968
2022-07-04,"50","53",1,1,112,17,306
2022-11-19,"91","92",1,1,21,3,91
2022-09-09,"59","11",1,5,178,32,548
2022-11-02,"55","66",4,10,404,70,1413
2022-05-06,"77","24",2,2,17,7,24
2022-02-08,"47","19",1,1,3,2,10
2022-09-23,"16","47",1,1,36,1,16368
2022-11-21,"78","16",2,1,245,28,3527
2022-07-04,"54","16",1,1,12,1,85
2022-05-16,"60","60",1,1,4,1,4
2022-04-22,"77","56",1,1,12,1,116
2022-11-12,"55","14",1,1,29,7,36
2022-02-11,"16","12",1,1,79,14,90
2022-03-10,"66","16",1,1,19,3,92
2022-05-20,"78","47",2,10,115,17,205
2021-11-22,"77","52",7,3,122,26,1911
2022-07-14,"16","16",5,28,207,50,1723
2022-06-02,"46","46",1,2,4,2,5
2022-03-17,"77","28",3,3,26,14,59
2022-01-31,"36","46",1,1,14,4,22
2022-04-19,"50","23",1,1,41,1,602
2022-07-12,"25","49",1,3,50,22,223
2022-03-23,"30","30",1,2,67,8,275
2022-07-02,"50","21",1,1,8,1,8
2022-08-25,"77","77",57,74,1798,186,39912
2022-10-20,"50","78",2,2,32,2,411
2022-09-04,"27","27",1,2,11,7,22
2022-01-04,"54","62",1,1,1,1,1
2022-01-08,"01","26",1,1,21,8,36
2022-04-16,"23","43",1,11,201,32,388
2022-03-08,"77","50",1,2,93,1,435
2022-07-28,"78","66",1,1,17,3,33
2021-12-02,"50","25",1,1,21,1,90
2022-05-18,"50","21",1,9,46,5,92
2022-08-11,"91","77",1,1,3,3,3
2022-02-22,"01","26",1,5,45,14,229
2022-03-28,"77","54",2,2,19,9,449
2022-09-29,"77","77",51,91,1240,184,57695
2022-08-04,"50","78",1,1,57,26,228
2022-10-10,"55","16",1,1,26,4,769
2022-11-03,"52","37",1,1,33,1,48
2022-05-24,"54","66",1,1,16,1,127
2022-05-31,"23","43",1,4,85,23,184
2021-12-29,"77","50",16,22,1028,68,34353
2022-09-23,"77","75",5,4,147,17,2180
2022-06-23,"52","16",1,1,10,1,16
2022-06-30,"60","60",1,3,12,6,20
2022-07-24,"77","56",1,1,1,1,24
2022-10-05,"66","31",1,1,22,1,34
2022-05-06,"16","16",2,22,123,33,338
2021-12-16,"77","28",3,2,47,20,154
2022-06-24,"30","30",2,2,56,11,81
2022-05-24,"50","23",1,1,21,2,300
2022-10-18,"77","73",3,3,83,16,214
2022-03-15,"54","66",1,1,14,4,19
2022-11-16,"52","33",1,8,60,18,128
2022-03-18,"23","43",1,3,25,12,34
2022-04-10,"77","50",1,1,10,2,19
2022-09-20,"01","92",1,10,224,41,369
2022-01-13,"77","54",10,7,203,44,9440
2022-02-12,"78","47",1,2,18,3,53
2021-12-03,"16","16",2,23,201,41,1778
2022-09-06,"77","71",2,2,26,13,30
2022-09-14,"60","47",1,1,12,1,27
2022-04-08,"66","16",1,1,1,1,10
2022-04-20,"33","52",1,7,43,17,103
2022-02-16,"60","60",2,3,36,8,70
2022-02-21,"52","16",1,1,34,1,52
2022-02-22,"30","30",1,2,81,14,277
2022-03-15,"50","23",1,1,13,6,68
2021-12-29,"46","46",1,2,25,9,28
2022-08-08,"47","32",1,1,18,1,24
2022-05-11,"77","52",3,4,55,7,2262
2022-01-25,"16","16",4,29,332,48,46407
2022-02-03,"50","59",2,1,23,2,163
2021-12-09,"77","56",6,7,179,13,3346
2022-11-08,"78","60",2,3,65,8,109
2021-12-22,"50","23",2,2,100,16,2945
2022-06-22,"31","67",1,1,8,1,8
2022-05-17,"47","86",1,1,2,1,2
2021-12-30,"91","54",1,1,6,1,32
2021-12-15,"23","43",1,16,338,53,657
2021-12-26,"01","22",1,1,9,2,864
2022-06-02,"77","50",15,20,210,33,2026
2022-08-10,"77","73",4,4,72,16,180
2022-10-13,"23","64",2,4,6,2,253
2022-05-13,"66","14",1,1,7,2,36
2022-02-17,"77","54",8,7,110,18,1456
2022-10-06,"38","38",8,30,420,60,720
2022-01-26,"77","33",2,2,18,2,408
2022-08-19,"78","92",1,1,9,2,13
2022-07-26,"78","26",1,1,1,1,2
2022-03-06,"45","45",1,1,1,1,1
2022-09-01,"77","14",1,1,1,1,8
2022-05-24,"52","77",3,5,71,6,242
2022-01-10,"33","33",1,3,91,36,134
2022-06-28,"77","37",1,1,17,1,611
2022-06-23,"50","42",1,1,4,1,12
2022-04-11,"26","34",1,2,7,3,420
2022-04-26,"50","40",1,1,1,1,4
2022-11-03,"50","63",2,2,18,9,153
2022-08-25,"72","78",1,1,2,1,2
2022-10-29,"77","16",1,1,58,1,360
2022-05-01,"59","59",1,1,10,2,20
2022-08-18,"50","19",1,1,34,4,1032
2022-01-28,"66","75",1,2,100,19,109
2022-07-25,"27","65",1,1,14,7,16
2022-09-27,"50","63",4,4,52,11,903
2022-02-01,"50","44",1,3,32,11,219
2022-10-03,"54","24",2,8,86,18,463
2022-06-17,"78","24",1,1,23,5,48
2021-12-13,"62","48",1,1,22,6,27
2022-03-02,"77","31",1,1,2,1,10
2022-08-04,"55","77",1,1,2,1,10
2021-11-30,"66","75",1,5,74,9,129
2022-07-15,"59","59",2,13,227,47,419
2021-12-28,"23","26",1,3,83,15,115
2022-06-08,"55","54",1,1,9,5,27
2022-08-22,"38","38",7,22,526,61,934
2022-07-08,"16","77",1,1,28,6,210
2021-12-22,"67","24",1,1,18,2,66
2021-12-27,"45","45",4,4,142,47,843
2022-04-19,"52","77",1,1,134,1,258
2021-12-06,"77","33",5,2,119,11,2245
2022-02-24,"33","33",1,6,94,32,129
2022-01-20,"16","73",1,5,39,14,116
2022-08-01,"66","50",1,1,2,2,2
2022-02-28,"66","77",2,2,2,2,4448
2021-12-03,"18","31",1,1,2,2,16
2022-10-03,"50","61",1,1,14,1,152
2022-02-14,"63","63",7,36,492,70,1699
2022-07-22,"59","21",1,6,33,15,64
2022-07-19,"36","23",1,1,8,3,348
2022-08-05,"02","02",1,1,3,1,3
2022-07-05,"50","44",1,3,76,16,238
2022-01-19,"50","40",1,1,39,13,72
2022-01-30,"59","59",1,4,79,20,88
2022-03-10,"55","54",1,1,7,4,18
2022-10-03,"61","77",1,1,1,1,1
2022-06-16,"77","31",3,4,67,18,194
2022-08-12,"77","12",3,3,48,2,139
2022-09-16,"52","52",3,28,555,67,1491
2021-12-22,"52","77",2,3,59,2,189
2022-06-22,"33","33",3,4,45,13,151
2022-07-25,"16","73",1,1,29,2,186
2022-08-18,"66","54",2,1,7,5,7
2022-01-28,"50","38",2,2,25,4,154
2022-06-10,"66","77",3,3,26,6,32
2022-03-09,"33","37",1,1,41,20,83
2022-02-08,"16","77",1,1,13,5,13
2022-04-12,"45","45",2,4,111,40,273
2021-12-07,"78","26",1,1,2,1,2
2022-10-23,"54","58",1,1,2,1,2
2022-07-02,"63","63",1,13,104,20,892
2022-07-14,"18","31",1,6,61,6,288
2022-11-16,"54","22",2,3,27,11,30
2022-03-21,"33","33",1,3,63,30,104
2022-02-10,"77","37",2,2,47,2,204
2021-11-30,"50","38",1,1,11,4,672
2021-12-08,"23","20",1,1,46,11,99
2021-12-24,"33","37",1,1,36,7,40
2022-07-11,"77","33",3,5,56,4,865
2021-11-23,"16","77",1,1,20,2,20
2022-03-15,"52","77",2,2,9,5,403
2022-10-10,"66","54",1,2,9,7,9
2022-08-16,"52","50",1,2,48,1,75
2022-06-06,"50","46",1,2,43,9,51
2022-05-13,"59","25",1,1,4,2,11
2022-05-18,"63","63",5,25,267,49,625
2022-09-21,"77","68",1,1,22,1,86
2022-08-23,"52","28",1,1,4,1,113
2022-10-19,"02","02",1,2,6,3,7
2022-09-12,"64","63",1,2,30,3,58
2022-09-14,"66","56",1,1,1,1,30
2021-12-23,"55","54",1,1,8,5,40
2022-09-02,"24","24",4,11,137,34,244
2021-12-02,"59","59",2,7,130,50,216
2022-11-14,"52","52",3,31,494,59,1596
2022-02-16,"66","71",1,1,23,6,27
2022-11-09,"25","77",1,1,16,7,60
2022-03-22,"55","50",1,1,17,1,27
2022-03-31,"77","31",1,1,44,1,1478
2021-12-28,"77","47",1,1,6,5,7
2022-03-25,"77","43",1,1,44,1,237
2022-03-07,"43","43",1,7,140,35,386
2022-02-02,"66","03",1,1,49,11,129
2022-07-12,"77","39",1,2,27,1,269
2022-05-17,"50","36",4,3,106,22,608
2022-10-11,"77","18",1,1,143,6,580
2022-11-15,"52","58",1,4,470,1,6611
2022-10-14,"26","61",2,3,34,4,473
2022-06-27,"78","50",1,1,19,2,114
2022-03-09,"52","05",2,4,100,2,1263
2022-04-04,"33","41",1,1,2,2,3
2022-09-22,"77","62",2,2,30,23,151
2022-05-06,"47","78",1,1,4,1,6
2022-04-20,"50","34",1,1,13,9,13
2022-02-09,"74","23",1,1,15,5,49
2022-09-15,"52","58",1,1,153,1,542
2022-10-01,"28","23",1,1,1,1,96
2022-08-02,"64","13",1,1,5,3,20
2022-06-29,"54","73",1,1,6,1,14
2022-05-23,"78","50",2,2,44,8,346
2021-12-24,"52","05",1,1,34,1,51
2022-07-14,"47","78",1,1,2,2,3
2022-11-16,"35","10",1,2,42,10,61
2022-01-26,"23","52",1,1,3,1,3
2022-05-20,"29","29",1,1,11,3,11
2022-04-25,"77","41",1,1,24,12,87
2022-10-24,"54","52",1,1,2,2,2
2022-01-16,"67","50",1,2,17,2,33
2022-03-05,"77","47",2,2,26,2,151
2022-02-21,"35","35",2,9,148,17,293
2021-12-30,"43","43",1,4,211,49,791
2022-03-14,"66","79",1,1,8,2,10
2022-05-04,"77","39",2,5,66,2,242
2022-06-29,"50","36",1,1,22,13,60
2022-02-15,"65","65",1,1,29,12,30
2022-11-08,"18","18",2,7,119,20,267
2022-09-30,"72","72",1,1,24,2,67
2022-09-13,"54","54",10,34,427,73,4284
2022-07-18,"54","77",1,1,42,10,86
2022-11-11,"78","77",7,8,293,42,10312
2022-10-19,"52","26",1,1,36,1,47
2022-04-11,"43","43",1,3,106,26,221
2022-03-23,"50","48",2,4,46,8,89
2022-06-23,"35","35",2,6,161,20,292
2022-10-22,"77","89",1,1,2,2,30
2022-07-18,"50","32",3,3,62,14,273
2022-02-15,"50","36",1,1,11,2,75
2022-08-19,"54","56",1,1,18,1,165
2022-10-12,"92","02",1,1,10,1,5919
2022-01-14,"77","43",2,2,41,5,115
2022-06-01,"43","43",1,5,139,36,240
2022-06-16,"23","50",4,2,100,3,630
2022-06-09,"54","75",1,1,10,2,17
2022-03-24,"35","35",3,3,99,16,134
2021-12-17,"78","52",1,1,14,2,352
2022-04-13,"77","47",4,4,53,6,765
2022-01-27,"77","39",5,4,135,17,1929
2022-07-13,"13","13",1,2,2,1,2
2022-08-24,"72","72",4,6,65,6,531
2022-02-18,"47","02",1,1,5,1,9
2021-12-02,"86","77",1,1,1,1,9
2022-11-10,"23","71",3,1,4,1,27
2022-09-19,"78","77",7,7,205,33,1586
2022-11-13,"54","54",2,1,30,2,141
2022-01-20,"77","41",1,1,16,11,34
2022-02-12,"29","29",1,1,12,2,26
2022-02-09,"78","50",1,1,4,4,7
2021-12-06,"66","92",2,3,5,4,6
2022-07-08,"77","45",2,2,25,12,46
2022-09-07,"77","66",17,19,556,68,9129
2022-01-29,"19","19",1,1,15,2,15
2022-04-14,"36","22",1,1,6,2,360
2022-05-24,"75","03",1,2,28,7,46
2022-06-23,"77","36",6,9,182,31,2563
2022-09-02,"32","46",1,2,22,2,26
2022-02-28,"78","23",1,1,25,1,384
2022-11-05,"66","51",1,1,4,3,4
2022-04-24,"66","72",1,2,27,6,27
2022-05-07,"55","55",3,12,294,61,1012
2022-04-26,"77","34",4,3,42,15,59
2022-03-28,"52","74",1,1,26,1,34
2022-03-06,"66","74",1,2,9,5,9
2022-09-08,"50","18",1,1,14,1,1250
2022-09-05,"01","61",1,1,23,6,43
2021-11-26,"77","30",3,3,58,13,144
2022-06-29,"23","23",3,5,68,24,113
2022-05-16,"78","25",1,10,35,3,767
2022-06-23,"73","73",1,1,10,4,10
2021-11-24,"62","33",1,3,20,8,25
2022-03-22,"47","77",1,2,7,5,20
2022-01-15,"54","78",1,1,3,1,6
2021-12-27,"66","74",2,2,5,5,12
2022-07-13,"55","55",4,28,388,56,2223
2022-07-20,"77","34",1,1,5,4,5
2022-02-01,"77","30",2,2,44,11,797
2022-08-09,"78","91",2,2,45,6,183
2022-05-17,"23","23",2,5,25,9,51
2022-08-30,"78","06",1,1,13,1,57
2022-11-21,"01","61",1,1,21,7,32
2022-03-24,"73","73",1,1,5,3,5
2022-06-01,"05","05",1,2,4,3,5
2021-12-06,"50","47",1,1,32,16,142
2022-02-16,"77","48",3,4,65,13,866
2022-09-03,"64","64",5,6,101,26,985
2022-01-19,"78","59",1,1,12,2,223
2022-04-19,"75","03",1,2,15,5,23
2022-03-24,"77","36",1,4,39,1,305
2022-10-14,"55","74",2,25,349,47,1205
2022-07-26,"66","72",2,3,22,4,63
2022-10-03,"77","15",1,1,27,10,43
2022-09-21,"66","51",2,2,97,15,98
2022-07-05,"77","30",2,2,25,12,27
2022-02-16,"78","25",1,1,21,1,250
2022-08-10,"52","53",1,2,75,1,110
2022-09-03,"55","72",1,3,34,8,284
2022-09-14,"78","02",1,1,36,12,76
2022-04-12,"66","74",1,1,2,1,3
2022-10-04,"24","25",1,1,1,1,3
2022-11-21,"34","32",1,1,6,1,9
2022-01-19,"77","34",2,2,19,10,23
2022-01-31,"22","70",1,1,6,3,22
2022-01-24,"55","55",8,16,221,62,950
2022-06-17,"54","78",2,1,5,2,13
2022-10-03,"78","78",14,20,838,96,10893
2022-06-16,"50","45",1,1,26,1,1618
2021-11-22,"63","64",1,1,57,17,107
2022-10-23,"77","69",1,4,49,3,107
2022-08-12,"50","66",2,5,82,20,309
2021-12-22,"75","03",1,3,46,13,65
2022-03-01,"03","75",1,1,171,6,236
2022-06-30,"77","48",2,2,53,2,877
2022-01-21,"66","72",2,3,59,10,255
2022-04-06,"49","49",1,1,8,3,40
2022-04-06,"77","32",1,1,10,2,60
2022-09-21,"23","91",1,2,32,11,38
2022-03-06,"50","39",1,1,1,1,18
2022-09-08,"66","55",1,2,14,6,144
2022-08-19,"23","06",2,1,2,2,40
2022-09-28,"24","27",1,1,5,4,15
2022-05-07,"64","43",1,1,1,1,1
2022-03-15,"75","03",1,3,47,10,110
2022-07-11,"50","47",1,4,49,8,71
2022-05-16,"77","48",1,1,13,1,55
2022-07-18,"19","19",2,2,63,7,396
2021-12-17,"36","22",1,1,2,2,48
2022-06-06,"77","32",2,2,119,21,495
2022-09-02,"77","86",1,1,8,3,74
2022-09-06,"52","51",1,1,29,1,45
2021-12-07,"66","72",2,2,60,8,907
2022-08-06,"77","11",1,1,1,1,15
2022-02-21,"77","36",3,6,202,21,2735
2021-12-27,"50","39",1,1,17,2,24
2022-06-10,"78","23",1,1,2,1,2
2022-11-16,"77","13",1,1,22,3,69
2022-10-11,"32","40",1,2,22,1,69
2022-02-15,"23","23",4,24,459,93,873
2021-12-04,"55","55",3,4,213,50,1041
2021-12-13,"77","34",2,3,35,15,46
2022-08-31,"28","28",3,8,170,31,325
2022-11-12,"78","02",1,1,25,9,38
2022-07-11,"54","02",1,1,17,1,54
2022-06-04,"66","74",2,2,15,4,16
2022-09-05,"34","32",1,1,20,2,23
2022-07-04,"21","12",1,1,4,2,10
2022-01-11,"47","77",1,3,18,8,39
2022-03-26,"54","78",1,1,6,1,9
2022-08-21,"78","78",3,3,233,39,2070
2021-12-30,"05","05",2,3,10,5,17
2022-08-01,"77","69",3,1,34,16,74
2022-10-12,"50","66",3,2,41,8,261
2022-09-16,"14","14",1,1,9,1,33
2021-12-16,"05","77",1,1,1,1,3
2022-06-16,"31","77",1,1,21,9,23
2022-03-25,"50","37",3,2,52,12,1316
2022-03-01,"66","02",1,4,95,9,140
2022-10-28,"52","21",1,7,72,20,129
2022-01-20,"61","23",2,3,57,23,106
2022-07-25,"54","70",4,8,130,27,323
2022-04-19,"25","27",1,1,6,6,7
2022-05-18,"18","40",1,8,111,5,286
2022-01-15,"39","39",2,2,9,3,14
2022-07-05,"16","02",1,8,171,33,380
